time TNF TNFR TRADD RIP1.1.0 A20 FADD FLIP C8.1.0 RIP3 TNF.1.TNFR.1.0 TNF.1.TNFR.1.TRADD.1.0 RIP1.1.TNF.1.TNFR.1.0 RIP1.1.TNF.1.TNFR.1.TRADD.1.0 A20.1.RIP1.1.TNF.1.TNFR.1.TRADD.1.0 RIP1.1.TRADD.1.0 FADD.1.RIP1.1.TRADD.1.0 C8.1.FADD.1.RIP1.1.TRADD.1.0 FADD.1.RIP1.1.RIP3.1.TRADD.1.0 C8.1.FADD.1.FLIP.1.RIP1.1.TRADD.1.0 C8.1.FADD.1.FLIP.1.RIP1.1.TRADD.1.1 C8.1.1 RIP1.1.RIP3.1.0 RIP1.1.RIP3.1.1 RIP1.1.RIP3.1.2 RIP1.1.RIP3.1.MLKL.1.0 MLKL.1.0 MLKL.1.1 Bid.1.0 Bid.1.1 Bid.1.C8.1.0 RIP1.1.1
0 207 200 375 1668 375 335 163 375 1668 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
10 206 199 375 1668 375 335 163 375 1668 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
20 205 198 375 1668 375 335 163 375 1668 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
30 205 198 375 1668 375 335 163 375 1668 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
40 203 196 375 1668 375 335 163 375 1668 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
50 203 196 375 1668 375 335 163 375 1668 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
60 203 196 374 1667 375 335 163 375 1668 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
70 203 196 374 1667 375 335 163 375 1668 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
80 203 196 374 1667 375 335 163 375 1668 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
90 202 195 374 1667 375 335 163 375 1668 4 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
100 201 194 374 1667 375 335 163 375 1668 5 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
110 201 194 374 1667 375 335 163 375 1668 5 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
120 200 193 374 1667 375 335 163 375 1668 6 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
130 199 192 374 1667 375 335 163 375 1668 7 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
140 199 192 374 1667 375 335 163 375 1668 7 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
150 198 192 374 1667 375 335 163 375 1668 7 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
160 197 191 374 1667 375 335 163 375 1668 8 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
170 197 191 374 1667 375 335 163 375 1668 8 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
180 196 190 374 1667 375 335 163 375 1668 9 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
