time TNF TNFR TRADD RIP1.1.0 A20 FADD FLIP C8.1.0 RIP3 TNF.1.TNFR.1.0 TNF.1.TNFR.1.TRADD.1.0 RIP1.1.TNF.1.TNFR.1.0 RIP1.1.TNF.1.TNFR.1.TRADD.1.0 A20.1.RIP1.1.TNF.1.TNFR.1.TRADD.1.0 RIP1.1.TRADD.1.0 FADD.1.RIP1.1.TRADD.1.0 C8.1.FADD.1.RIP1.1.TRADD.1.0 FADD.1.RIP1.1.RIP3.1.TRADD.1.0 C8.1.FADD.1.FLIP.1.RIP1.1.TRADD.1.0 C8.1.FADD.1.FLIP.1.RIP1.1.TRADD.1.1 C8.1.1 RIP1.1.RIP3.1.0 RIP1.1.RIP3.1.1 RIP1.1.RIP3.1.2 RIP1.1.RIP3.1.MLKL.1.0 MLKL.1.0 MLKL.1.1 Bid.1.0 Bid.1.1 Bid.1.C8.1.0 RIP1.1.1
0 207 200 375 1668 375 335 163 375 1668 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
10 206 199 375 1668 375 335 163 375 1668 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
20 203 197 375 1667 375 335 163 375 1668 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
30 203 197 375 1667 375 335 163 375 1668 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
40 202 196 375 1667 375 335 163 375 1668 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
50 202 196 375 1667 375 335 163 375 1668 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
60 201 195 375 1667 375 335 163 375 1668 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
70 200 194 375 1666 375 335 163 375 1668 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
80 200 194 375 1666 375 335 163 375 1668 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
90 200 194 375 1666 375 335 163 375 1668 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
100 200 194 375 1666 375 335 163 375 1668 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
110 200 194 375 1666 375 335 163 375 1668 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
120 200 194 375 1666 375 335 163 375 1668 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
130 199 193 375 1666 375 335 163 375 1668 5 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
140 199 193 375 1666 375 335 163 375 1668 5 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
150 199 193 375 1666 375 335 163 375 1668 5 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
160 198 192 375 1666 375 335 163 375 1668 6 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
170 196 190 375 1666 375 335 163 375 1668 8 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
180 196 190 375 1666 375 335 163 375 1668 8 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
