time TNF TNFR TRADD RIP1.1.0 A20 FADD FLIP C8.1.0 RIP3 TNF.1.TNFR.1.0 TNF.1.TNFR.1.TRADD.1.0 RIP1.1.TNF.1.TNFR.1.0 RIP1.1.TNF.1.TNFR.1.TRADD.1.0 A20.1.RIP1.1.TNF.1.TNFR.1.TRADD.1.0 RIP1.1.TRADD.1.0 FADD.1.RIP1.1.TRADD.1.0 C8.1.FADD.1.RIP1.1.TRADD.1.0 FADD.1.RIP1.1.RIP3.1.TRADD.1.0 C8.1.FADD.1.FLIP.1.RIP1.1.TRADD.1.0 C8.1.FADD.1.FLIP.1.RIP1.1.TRADD.1.1 C8.1.1 RIP1.1.RIP3.1.0 RIP1.1.RIP3.1.1 RIP1.1.RIP3.1.2 RIP1.1.RIP3.1.MLKL.1.0 MLKL.1.0 MLKL.1.1 Bid.1.0 Bid.1.1 Bid.1.C8.1.0 RIP1.1.1
0 21 200 375 1668 375 335 163 375 1668 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
10 21 200 375 1668 375 335 163 375 1668 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
20 21 200 375 1668 375 335 163 375 1668 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
30 20 199 375 1668 375 335 163 375 1668 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
40 20 199 375 1668 375 335 163 375 1668 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
50 20 199 375 1668 375 335 163 375 1668 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
60 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
70 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
80 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
90 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
100 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
110 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
120 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
130 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
140 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
150 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
160 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
170 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
180 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
190 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
200 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
210 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
220 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
230 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
240 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
250 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
260 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
270 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
280 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
290 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
300 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
310 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
320 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
330 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
340 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
350 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
360 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
370 20 199 374 1668 375 335 163 375 1668 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
380 19 198 374 1668 375 335 163 375 1668 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
390 19 198 374 1668 375 335 163 375 1668 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
400 19 198 374 1668 375 335 163 375 1668 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
410 19 198 374 1668 375 335 163 375 1668 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
420 19 198 374 1668 375 335 163 375 1668 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
430 19 198 374 1668 375 335 163 375 1668 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
440 19 198 374 1668 375 335 163 375 1668 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
450 19 198 374 1668 375 335 163 375 1668 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
460 19 198 374 1668 375 335 163 375 1668 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
470 19 198 374 1668 375 335 163 375 1668 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
480 19 198 374 1668 375 335 163 375 1668 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
490 19 198 374 1668 375 335 163 375 1668 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
500 19 198 374 1668 375 335 163 375 1668 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
510 19 198 374 1668 375 335 163 375 1668 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
520 19 198 374 1668 375 335 163 375 1668 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
530 19 198 374 1667 375 335 163 375 1668 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
540 19 198 374 1667 375 335 163 375 1668 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
550 19 198 374 1667 375 335 163 375 1668 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
560 19 198 374 1667 375 335 163 375 1668 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
570 19 198 374 1667 375 335 163 375 1668 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
580 19 198 374 1667 375 335 163 375 1668 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
590 19 198 374 1667 375 335 163 375 1668 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
600 19 198 374 1667 375 335 163 375 1668 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
610 19 198 374 1667 375 335 163 375 1668 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
620 18 197 374 1667 375 335 163 375 1668 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
630 18 197 374 1667 375 335 163 375 1668 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
640 18 197 374 1667 375 335 163 375 1668 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
650 18 197 374 1667 375 335 163 375 1668 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
660 18 197 374 1667 375 335 163 375 1668 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
670 18 197 374 1667 375 335 163 375 1668 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
680 18 197 374 1667 375 335 163 375 1668 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
690 18 197 374 1667 375 335 163 375 1668 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
700 18 197 374 1667 375 335 163 375 1668 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
710 18 197 374 1667 375 335 163 375 1668 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
720 18 197 374 1667 375 335 163 375 1668 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
730 18 197 374 1667 375 335 163 375 1668 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
740 18 197 374 1667 375 335 163 375 1668 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
750 18 197 374 1667 375 335 163 375 1668 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
760 17 196 374 1667 375 335 163 375 1668 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
770 17 196 374 1667 375 335 163 375 1668 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
780 17 196 374 1667 375 335 163 375 1668 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
790 17 196 374 1667 375 335 163 375 1668 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
800 17 196 374 1667 375 335 163 375 1668 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
810 17 196 374 1667 375 335 163 375 1668 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
820 17 196 374 1667 375 335 163 375 1668 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
830 17 196 374 1667 375 335 163 375 1668 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
840 17 196 374 1667 375 335 163 375 1668 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
850 17 196 374 1667 375 335 163 375 1668 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
860 17 196 374 1667 375 335 163 375 1668 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
870 17 196 374 1667 375 335 163 375 1668 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
880 17 196 374 1667 375 335 163 375 1668 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
890 17 196 374 1667 375 335 163 375 1668 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
900 17 196 374 1667 375 335 163 375 1668 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 417 0 417 0 0 0
